Name,Category,State,City
"200073-BSSPM'S ARTS & SCIENCE COLLEGE, SONGIR, TAL.& DIST-DHULE",College,Maharashtra,Dhule
"200088-SYSTEL TECHNICAL EDUCATION SOCIETYS SYSTEL INSTITUTE OF MANAGEMENT & RESEARCH, DEOPUR,DHULE.",College,Maharashtra,Dhule
"200095-NES'S GANGAMAI COLLEGE OF PHARMACY, NAGAON, DHULE.",College,Maharashtra,Dhule
"200101-ASPMD'S BAPUSAHEB D.D.VISPUTE COLLEGE OF EDUCATION, VALWADI-DHULE",College,Maharashtra,Dhule
"200110-SSS'S HAJI SAEED AHMAD SARDAR ARTS&SCIENCE COLLEGE, DHULE",College,Maharashtra,Dhule
"200111-SS&SS'S VIDYADHAN COMMERCE COLLEGE,VALWADI, DHULE",College,Maharashtra,Dhule
"200121-STREE SHIKSHAN SANSTHA'S SUNDARBAI MAGANLAL BIYANI LAW COLLEGE, DHULE",College,Maharashtra,Dhule
203-RAMESHWARAM INSTITUTE OF TECHNOLOGY AND MANAGEMENT,College,Uttar Pradesh,Lucknow
"210026-VIDYA VIKAS MANDAL'S SITARAM GOVIND PATIL ARTS,SCIENCE & COMMERCE COLLEGE, SAKRI. DIST. DHULE",College,Maharashtra,Dhule
"210027-PIMPALNER EDUCATION SOCIETY'S KARM. A. M. PATIL ARTS, COMMERCE AND KAI. ANNASAHEB N. K. PATIL SCIENCE SENIOR COLLEGE, PIMPALNER TAL-SAKRI, DIST-DHULE",College,Maharashtra,Dhule
"210067-NIJAMPUR JAITANE SHIKSHAN PRASARAK MANDALACHE, JAGANNATH KADWADAS SHAH ADARSH MAHAVIDYALAY, NIJAMPUR-JAITANE,TAL-SAKRI.",College,Maharashtra,Dhule
"210068-NAVODAY SHAIKSHANIK SANSTHA DHULE'S  UTTAMRAO PATIL ARTS AND SCIENCE COLLEGE, DAHIWEL,TAL-SAKRI, DIST-DHULE",College,Maharashtra,Dhule
